path	type	group	purpose	deps	size	decision	target_path	notes
core/.agents	group	A-editor-mirrors	OpenAI agents-format mirror	-	69	undecided	-	CLI/web only; other-editor mirror
core/.kiro	group	A-editor-mirrors	Kiro editor mirror	-	85	undecided	-	other-editor mirror
core/.opencode	group	A-editor-mirrors	OpenCode editor mirror	-	78	undecided	-	other-editor mirror
core/.cursor	group	A-editor-mirrors	Cursor editor mirror	-	67	undecided	-	other-editor mirror
core/.codebuddy	group	A-editor-mirrors	CodeBuddy editor mirror	-	6	undecided	-	other-editor mirror
core/.codex	group	A-editor-mirrors	Codex mirror	-	5	undecided	-	other-editor mirror
core/.codex-plugin	group	A-editor-mirrors	Codex plugin mirror	-	2	undecided	-	other-editor mirror
core/.trae	group	A-editor-mirrors	Trae editor mirror	-	4	undecided	-	other-editor mirror
core/.zed	group	A-editor-mirrors	Zed editor mirror	-	1	undecided	-	other-editor mirror
core/.gemini	group	A-editor-mirrors	Gemini mirror	-	1	undecided	-	other-editor mirror
core/.qwen	group	A-editor-mirrors	Qwen mirror	-	1	undecided	-	other-editor mirror
core/.github	group	A-editor-mirrors	ECC project CI workflows	-	21	undecided	-	ECC repo CI, not a CC artifact
core/.claude	group	A-editor-mirrors	ECC core .claude config	-	13	undecided	-	superseded by our root .claude
core/docs/ja-JP	group	B-localized-docs	Japanese docs	-	472	undecided	-	localized ECC docs
core/docs/zh-CN	group	B-localized-docs	Chinese docs	-	377	undecided	-	localized ECC docs
core/docs/tr	group	B-localized-docs	Turkish docs	-	142	undecided	-	localized ECC docs
core/docs/ko-KR	group	B-localized-docs	Korean docs	-	64	undecided	-	localized ECC docs
core/docs/zh-TW	group	B-localized-docs	Taiwan Chinese docs	-	58	undecided	-	localized ECC docs
core/docs/pt-BR	group	B-localized-docs	Portuguese docs	-	47	undecided	-	localized ECC docs
core/docs/de-DE,vi-VN,th,ru	group	B-localized-docs	other localized docs	-	5	undecided	-	localized ECC docs
core/docs/(english:releases,architecture,fixes,business,etc.)	group	B-core-docs-en	ECC internal project docs (release notes, plans, PR triage)	-	93	undecided	-	ECC project docs, not CC artifacts
core/rules/zh	group	C-pruned-lang	Chinese-localized rules	-	11	undecided	-	localization
core/rules/golang	group	C-pruned-lang	Go rules (pruned lang)	-	5	undecided	-	pruned language
core/skills/(21 pruned-lang dirs)	group	C-pruned-lang	java/ruby/go/rust/php/csharp/kotlin/swift/dart/perl/dotnet/fsharp skills	-	~40	undecided	-	pruned languages
core/agents/(12 pruned-lang reviewers/resolvers)	group	C-pruned-lang	java/rust/kotlin/swift/csharp/dart/fsharp/flutter reviewers+resolvers	-	12	undecided	-	pruned languages
scripts/fork-ecc.sh	group	D-fork-sync	clone+prune ECC fork	-	1	undecided	-	flatten=> drop sync
scripts/prune-languages.sh	group	D-fork-sync	remove pruned-lang files from core	-	1	undecided	-	flatten=> drop sync
scripts/add-upstream.sh	group	D-fork-sync	vendor a new plugin	vendor-plugin skill	1	undecided	-	flatten=> drop sync
scripts/sync-upstream.sh	group	D-fork-sync	re-pin vendored upstreams	sync-upstreams skill	1	undecided	-	flatten=> drop sync
scripts/detect-languages.sh	group	D-fork-sync	recommend language packs	-	1	undecided	-	flatten=> drop sync
scripts/enable-artifact.sh	group	D-fork-sync	toggle artifact globs in kit.config	kit.config.yml	1	undecided	-	flatten=> drop
scripts/install-as-plugin.sh	group	D-fork-sync	install kit as local plugin	-	1	undecided	-	review
vendored/.upstreams.yml	group	D-fork-sync	upstream registry+pins	sync scripts	1	undecided	-	flatten=> drop (save attribution first)
kit.config.yml	group	D-fork-sync	layer steering wheel	discover/audit/sync skills	1	undecided	-	flatten=> drop
scripts/render-merged-tree.sh	group	D2-web-install	materialize merged tree for web/Cowork	-	1	undecided	-	WEB USER: keep simplified path
scripts/install-user-global.sh	group	D2-web-install	symlink merged tree into ~/.claude	-	1	undecided	-	WEB USER: likely keep
core/ecc2	group	E-ecc-scaffold	ECC v2 source	-	19	undecided	-	upstream build code
core/src	group	E-ecc-scaffold	ECC source (llm)	-	19	undecided	-	upstream build code
core/tests	group	E-ecc-scaffold	ECC test suite	-	149	undecided	-	upstream tests
core/scripts	group	E-ecc-scaffold	ECC build/CI scripts	-	167	undecided	-	upstream scripts
core/examples	group	E-ecc-scaffold	ECC example projects	-	46	undecided	-	upstream examples
core/assets	group	E-ecc-scaffold	images/resources	-	36	undecided	-	upstream assets
core/legacy-command-shims	group	E-ecc-scaffold	legacy command compat	-	13	undecided	-	upstream legacy
core/schemas	group	E-ecc-scaffold	JSON validation schemas	-	10	undecided	-	review (maybe keep hooks/plugin schema)
core/(root build/meta files ~42)	group	E-ecc-scaffold	package.json,yarn.lock,install.*,SPONSORS,CHANGELOG,the-*-guide,etc.	-	42	undecided	-	upstream repo meta
vendored/explanatory-output-style	group	F-disabled-vendored	output-style (enabled:false)	-	4	undecided	-	already disabled
vendored/learning-output-style	group	F-disabled-vendored	output-style (enabled:false)	-	4	undecided	-	already disabled
core/docs/ANTIGRAVITY-GUIDE.md	doc	B-sec1-adapters	Antigravity setup guide	non-CC tool	156	cut	-	sec1; targets other tool
core/docs/HERMES-SETUP.md	doc	B-sec1-adapters	Hermes x ECC setup	non-CC tool	125	cut	-	sec1; targets other tool
core/docs/HERMES-OPENCLAW-MIGRATION.md	doc	B-sec1-adapters	Hermes/OpenClaw->ECC migration	non-CC tool	239	cut	-	sec1; targets other tool
core/docs/JOYCODE-GUIDE.md	doc	B-sec1-adapters	JoyCode adapter guide	non-CC tool	55	cut	-	sec1; targets other tool
core/docs/QWEN-GUIDE.md	doc	B-sec1-adapters	Qwen CLI adapter guide	non-CC tool	54	cut	-	sec1; targets other tool
core/docs/MANUAL-ADAPTATION-GUIDE.md	doc	B-sec1-adapters	manual adaptation for non-native harnesses	non-CC tool	214	cut	-	sec1; targets other tool
core/docs/ja-JP	doc-tree	B-sec2-localized	Japanese ECC doc translations	none(not loaded)	472	cut	-	sec2; localized, english used
core/docs/zh-CN	doc-tree	B-sec2-localized	Chinese ECC doc translations	none	377	cut	-	sec2; localized
core/docs/tr	doc-tree	B-sec2-localized	Turkish ECC doc translations	none	142	cut	-	sec2; localized
core/docs/ko-KR	doc-tree	B-sec2-localized	Korean ECC doc translations	none	64	cut	-	sec2; localized
core/docs/zh-TW	doc-tree	B-sec2-localized	Taiwan Chinese ECC doc translations	none	58	cut	-	sec2; localized
core/docs/pt-BR	doc-tree	B-sec2-localized	Portuguese ECC doc translations	none	47	cut	-	sec2; localized
core/docs/de-DE	doc-tree	B-sec2-localized	German ECC doc translations	none	2	cut	-	sec2; localized
core/docs/vi-VN	doc-tree	B-sec2-localized	Vietnamese ECC doc translations	none	1	cut	-	sec2; localized
core/docs/th	doc-tree	B-sec2-localized	Thai ECC doc translations	none	1	cut	-	sec2; localized
core/docs/ru	doc-tree	B-sec2-localized	Russian ECC doc translations	none	1	cut	-	sec2; localized
core/.cursor	editor-mirror	A-sec3-mirrors	Cursor editor config mirror	none(CLI/web only)	67	cut	-	sec3; other-editor mirror
core/.kiro	editor-mirror	A-sec3-mirrors	Kiro editor mirror	none	85	cut	-	sec3; other-editor mirror
core/.opencode	editor-mirror	A-sec3-mirrors	OpenCode editor mirror	none	78	cut	-	sec3; other-editor mirror
core/.agents	editor-mirror	A-sec3-mirrors	OpenAI/Codex agents-format mirror	none	69	cut	-	sec3; other-editor mirror
core/.codebuddy	editor-mirror	A-sec3-mirrors	CodeBuddy editor mirror	none	6	cut	-	sec3; other-editor mirror
core/.codex	editor-mirror	A-sec3-mirrors	Codex mirror	none	5	cut	-	sec3; other-editor mirror
core/.codex-plugin	editor-mirror	A-sec3-mirrors	Codex plugin mirror	none	2	cut	-	sec3; other-editor mirror
core/.trae	editor-mirror	A-sec3-mirrors	Trae editor mirror	none	4	cut	-	sec3; other-editor mirror
core/.zed	editor-mirror	A-sec3-mirrors	Zed editor mirror	none	1	cut	-	sec3; other-editor mirror
core/.gemini	editor-mirror	A-sec3-mirrors	Gemini mirror	none	1	cut	-	sec3; other-editor mirror
core/.qwen	editor-mirror	A-sec3-mirrors	Qwen mirror	none	1	cut	-	sec3; other-editor mirror
core/docs/SKILL-DEVELOPMENT-GUIDE.md	doc	sec4-keep	how-to for authoring skills	refs some ECC paths	919	keep	docs/SKILL-DEVELOPMENT-GUIDE.md	sec4; generic, fix refs in flatten
core/docs/SKILL-PLACEMENT-POLICY.md	doc	sec4-keep	where curated/learned/imported skills belong	refs ECC manifests+ci script	104	keep	docs/SKILL-PLACEMENT-POLICY.md	sec4; fix/scrub ECC machinery refs in flatten
core/docs/skill-adaptation-policy.md	doc	sec4-keep	policy: adapt outside contributions	ECC governance framing	73	keep	docs/skill-adaptation-policy.md	sec4; de-ECC framing in flatten
core/docs/token-optimization.md	doc	sec4-keep	settings/habits to cut token use	refs rules/common/performance + strategic-compact	156	keep	docs/token-optimization.md	sec4; verify refs in flatten
core/docs/PLAN-PRD-PATTERN.md	doc	sec4-keep	markdown-staged planning flow	refs /plan-prd /plan tdd /pr	154	keep	docs/PLAN-PRD-PATTERN.md	sec4; verify cmd refs in flatten
core/docs/continuous-learning-v2-spec.md	doc	sec4-keep	pointer to continuous-learning-v2 skill	refs skills/continuous-learning-v2	14	keep	docs/continuous-learning-v2-spec.md	sec4; revisit if that skill is cut later
core/docs/examples/product-capability-template.md	doc	sec4-keep	reusable capability-contract template	none	84	keep	docs/examples/product-capability-template.md	sec4; project-agnostic
core/docs/examples/project-guidelines-template.md	doc	sec4-keep	per-project guidelines skill template	none	347	keep	docs/examples/project-guidelines-template.md	sec4; reusable scaffold
core/docs/releases/**	doc-tree	sec4-cut	ECC release notes + marketing/launch/publication drafts	none	42	cut	-	sec4; ECC-internal release mgmt
core/docs/(top-level ECC-2.0/PR-triage/roadmap/registry docs)	doc-group	sec4-cut	ECC roadmaps, PR triage, command map/registry, troubleshooting, legacy inventory	none	18	cut	-	sec4; ECC-internal
core/docs/architecture/**	doc-tree	sec4-cut	ECC 2.0 design contracts (cross-harness, RAG, observability, adapter compliance)	none	8	cut	-	sec4; about deleted harness machinery
core/docs/fixes/**	doc-group	sec4-cut	version-pinned ECC hook-bug workarounds + PS patchers	none	7	cut	-	sec4; ECC-specific fixes
core/docs/business+drafts	doc-group	sec4-cut	sponsorship playbook, social copy, release announcement	none	3	cut	-	sec4; ECC marketing
core/docs/security/supply-chain-incident-response.md	doc	sec4-cut	supply-chain IR playbook	none	189	cut	-	sec4; ECC operator runbook, incident-pinned
core/.github/**	repo-config	sec5-cut	ECC's own CI workflows, CODEOWNERS, FUNDING, dependabot, PR/issue templates, copilot prompts	none(inert under core)	21	cut	-	sec5; ECC repo machinery
core/.claude/ecc-tools.json	config	sec5-cut	ECC install/tools manifest	none	1	cut	-	sec5; ECC-specific
core/.claude/enterprise/controls.md	config	sec5-cut	ECC enterprise controls	none	1	cut	-	sec5; ECC-specific
core/.claude/homunculus/instincts/inherited/everything-claude-code-instincts.yaml	config	sec5-cut	ECC inherited instincts	none	1	cut	-	sec5; ECC-specific
core/.claude/identity.json	config	sec5-cut	ECC identity baseline	none	1	cut	-	sec5; ECC-specific
core/.claude/package-manager.json	config	sec5-cut	ECC package-manager config	none	1	cut	-	sec5; ECC-specific
core/.claude/research/everything-claude-code-research-playbook.md	doc	sec5-cut	ECC research playbook	none	1	cut	-	sec5; ECC-specific
core/.claude/rules/everything-claude-code-guardrails.md	rule	sec5-cut	ECC guardrails rule	none	1	cut	-	sec5; ECC-specific
core/.claude/skills/everything-claude-code/SKILL.md	skill	sec5-cut	ECC self-describing skill	none	1	cut	-	sec5; ECC-specific
core/.claude/team/everything-claude-code-team-config.json	config	sec5-cut	ECC team config	none	1	cut	-	sec5; ECC-specific
core/.claude/commands/add-language-rules.md	command	sec5-hold	add-language-rules slash command	tied to lang-pack/rules flow	1	undecided	-	sec5; review in Phase 3 with core/commands
core/.claude/commands/database-migration.md	command	sec5-hold	database-migration slash command	maybe dup of core/commands	1	undecided	-	sec5; review in Phase 3 with core/commands
core/.claude/commands/feature-development.md	command	sec5-hold	feature-development slash command	maybe dup of core/commands	1	undecided	-	sec5; review in Phase 3 with core/commands
core/.claude/rules/node.md	rule	sec5-hold	generic Node.js rules	maybe dup of core/rules	1	undecided	-	sec5; review in Phase 3 with core/rules
core/skills/(21 pruned-lang dirs)	skill-group	sec6-cut	csharp/dart/dotnet/fsharp/golang/java/kotlin/perl/rust/swift skills	none	21	cut	-	sec6; kit.config pruned_languages
core/agents/(14 pruned-lang)	agent-group	sec6-cut	{csharp,dart,flutter,fsharp,go,java,kotlin,rust,swift}-reviewer/build-resolver	none	14	cut	-	sec6; pruned languages
core/commands/(12 pruned-lang)	command-group	sec6-cut	flutter/go/kotlin/rust x build/review/test slash commands	none	12	cut	-	sec6; siblings of cut agents/skills
core/rules/golang	rule-tree	sec6-cut	Go language rules	none	5	cut	-	sec6; pruned language
core/rules/zh	rule-tree	sec6-cut	Chinese-localized rules	none	11	cut	-	sec6; localized (like cut docs)
core/rules/arkts	rule-tree	sec6-cut	ArkTS/HarmonyOS rules	none	5	cut	-	sec6; ambiguous-niche, cut
core/agents/harmonyos-app-resolver.md	agent	sec6-cut	HarmonyOS app build resolver	none	1	cut	-	sec6; arkts sibling
core/rules/cpp	rule-tree	sec6-keep	C++ language rules	-	5	keep	rules/cpp	sec6; ambiguous-kept (common lang)
core/agents/cpp-reviewer.md	agent	sec6-keep	C++ code reviewer	-	1	keep	agents/cpp-reviewer.md	sec6; kept with cpp
core/agents/cpp-build-resolver.md	agent	sec6-keep	C++ build resolver	-	1	keep	agents/cpp-build-resolver.md	sec6; kept with cpp
core/rules/angular	rule-tree	sec6-keep	Angular rules	-	5	keep	rules/angular	sec6; TS-adjacent, kept
vendored/explanatory-output-style	vendored-plugin	sec7-cut	explanatory output-style (SessionStart hook)	enabled:false in kit.config	4	cut	-	sec7; disabled plugin
vendored/learning-output-style	vendored-plugin	sec7-cut	learning output-style (SessionStart hook)	enabled:false in kit.config	4	cut	-	sec7; disabled plugin
