path	type	group	purpose	deps	size	decision	target_path	notes
core/skills/accessibility/SKILL.md	skill	core-skills	Design, implement, and audit inclusive digital products using WCAG 2.2 Level AA		146	keep		user approved proposed-cuts (keep)
core/skills/agent-architecture-audit/SKILL.md	skill	core-skills	Full-stack diagnostic for agent and LLM applications. Audits the 12-layer agent stack for wrapper regression, memory pollution, tool discipl		256	keep		user approved proposed-cuts (keep)
core/skills/agent-eval/SKILL.md	skill	core-skills	Head-to-head comparison of coding agents (Claude Code, Aider, Codex, etc.) on custom tasks with pass rate, cost, time, and consistency metri		145	keep		user approved proposed-cuts (keep)
core/skills/agent-harness-construction/SKILL.md	skill	core-skills	Design and optimize AI agent action spaces, tool definitions, and observation formatting for higher completion rates.		73	keep		user approved proposed-cuts (keep)
core/skills/agent-introspection-debugging/SKILL.md	skill	core-skills	Structured self-debugging workflow for AI agent failures using capture, diagnosis, contained recovery, and introspection reports.		153	keep		user approved proposed-cuts (keep)
core/skills/agent-payment-x402/SKILL.md	skill	core-skills	Add x402 payment execution to AI agents with per-task budgets, spending controls, and non-custodial wallets. Supports Base through agentwall		224	cut		user approved proposed-cuts (cut)
core/skills/agent-sort/SKILL.md	skill	core-skills	Build an evidence-backed ECC install plan for a specific repo by sorting skills, commands, rules, hooks, and extras into DAILY vs LIBRARY bu		215	cut		user approved proposed-cuts (cut)
core/skills/agentic-engineering/SKILL.md	skill	core-skills	Operate as an agentic engineer using eval-first execution, decomposition, and cost-aware model routing.		63	keep		user approved proposed-cuts (keep)
core/skills/agentic-os/SKILL.md	skill	core-skills	Build persistent multi-agent operating systems on Claude Code. Covers kernel architecture, specialist agents, slash commands, file-based mem		387	keep		user approved proposed-cuts (keep)
core/skills/ai-first-engineering/SKILL.md	skill	core-skills	Engineering operating model for teams where AI agents generate a large share of implementation output.		51	keep		user approved proposed-cuts (keep)
core/skills/ai-regression-testing/SKILL.md	skill	core-skills	Regression testing strategies for AI-assisted development. Sandbox-mode API testing without database dependencies, automated bug-check workf		385	keep		user approved proposed-cuts (keep)
core/skills/android-clean-architecture/SKILL.md	skill	core-skills	Clean Architecture patterns for Android and Kotlin Multiplatform projects — module structure, dependency rules, UseCases, Repositories, and 		339	cut		user approved proposed-cuts (cut)
core/skills/angular-developer/SKILL.md	skill	core-skills	Generates Angular code and provides architectural guidance. Trigger when creating projects, components, or services, or for best practices o	bundles 36 files (refs/scripts travel together)	154	cut		user approved proposed-cuts (cut)
core/skills/api-connector-builder/SKILL.md	skill	core-skills	Build a new API connector or provider by matching the target repo's existing integration pattern exactly. Use when adding one more integrati		120	keep		user approved proposed-cuts (keep)
core/skills/api-design/SKILL.md	skill	core-skills	REST API design patterns including resource naming, status codes, pagination, filtering, error responses, versioning, and rate limiting for 		523	keep		user approved proposed-cuts (keep)
core/skills/architecture-decision-records/SKILL.md	skill	core-skills	Capture architectural decisions made during Claude Code sessions as structured ADRs. Auto-detects decision moments, records context, alterna		179	keep		user approved proposed-cuts (keep)
core/skills/article-writing/SKILL.md	skill	core-skills	Write articles, guides, blog posts, tutorials, newsletter issues, and other long-form content in a distinctive voice derived from supplied e		79	cut		user approved proposed-cuts (cut)
core/skills/automation-audit-ops/SKILL.md	skill	core-skills	Evidence-first automation inventory and overlap audit workflow for ECC. Use when the user wants to know which jobs, hooks, connectors, MCP s		142	cut		user approved proposed-cuts (cut)
core/skills/autonomous-agent-harness/SKILL.md	skill	core-skills	Transform Claude Code into a fully autonomous agent system with persistent memory, scheduled operations, computer use, and task queuing. Rep		273	keep		user approved proposed-cuts (keep)
core/skills/autonomous-loops/SKILL.md	skill	core-skills	Patterns and architectures for autonomous Claude Code loops — from simple sequential pipelines to RFC-driven multi-agent DAG systems.		610	keep		user approved proposed-cuts (keep)
core/skills/backend-patterns/SKILL.md	skill	core-skills	Backend architecture patterns, API design, database optimization, and server-side best practices for Node.js, Express, and Next.js API route		561	keep		user approved proposed-cuts (keep)
core/skills/benchmark-optimization-loop/SKILL.md	skill	core-skills	Use when the user asks to make something faster, try many variants, run recursive optimization, benchmark latency/throughput/cost, or choose		69	keep		user approved proposed-cuts (keep)
core/skills/benchmark/SKILL.md	skill	core-skills	Use this skill to measure performance baselines, detect regressions before/after PRs, and compare stack alternatives.		93	keep		user approved proposed-cuts (keep)
core/skills/blender-motion-state-inspection/SKILL.md	skill	core-skills	Use this skill when inspecting Blender characters, rigs, poses, animation retargeting, ground contact, facing direction, or model-vs-motion 		164	cut		user approved proposed-cuts (cut)
core/skills/blueprint/SKILL.md	skill	core-skills	>-		105	keep		user approved proposed-cuts (keep)
core/skills/brand-voice/SKILL.md	skill	core-skills	Build a source-derived writing style profile from real posts, essays, launch notes, docs, or site copy, then reuse that profile across conte	bundles 2 files (refs/scripts travel together)	97	cut		user approved proposed-cuts (cut)
core/skills/browser-qa/SKILL.md	skill	core-skills	Use this skill to automate visual testing and UI interaction verification using browser automation after deploying features.		87	keep		user approved proposed-cuts (keep)
core/skills/bun-runtime/SKILL.md	skill	core-skills	Bun as runtime, package manager, bundler, and test runner. When to choose Bun vs Node, migration notes, and Vercel support.		84	keep		user approved proposed-cuts (keep)
core/skills/canary-watch/SKILL.md	skill	core-skills	Use this skill to monitor and verify a deployed URL after releases — checks HTTP endpoints, SSE streams, static assets, console errors, and 		107	keep		user approved proposed-cuts (keep)
core/skills/carrier-relationship-management/SKILL.md	skill	core-skills	>		212	cut		user approved proposed-cuts (cut)
core/skills/cisco-ios-patterns/SKILL.md	skill	core-skills	Cisco IOS and IOS-XE review patterns for show commands, config hierarchy, wildcard masks, ACL placement, interface hygiene, and safe change-		163	cut		user approved proposed-cuts (cut)
core/skills/ck/SKILL.md	skill	core-skills	Persistent per-project memory for Claude Code. Auto-loads project context on session start, tracks sessions with git activity, and writes to	bundles 10 files (refs/scripts travel together)	147	keep		user approved proposed-cuts (keep)
core/skills/claude-devfleet/SKILL.md	skill	core-skills	Orchestrate multi-agent coding tasks via Claude DevFleet — plan projects, dispatch parallel agents in isolated worktrees, monitor progress, 		103	keep		user approved proposed-cuts (keep)
core/skills/click-path-audit/SKILL.md	skill	core-skills	Trace every user-facing button/touchpoint through its full state change sequence to find bugs where functions individually work but cancel e		244	keep		user approved proposed-cuts (keep)
core/skills/clickhouse-io/SKILL.md	skill	core-skills	ClickHouse database patterns, query optimization, analytics, and data engineering best practices for high-performance analytical workloads.		439	keep		user approved proposed-cuts (keep)
core/skills/code-tour/SKILL.md	skill	core-skills	Create CodeTour `.tour` files — persona-targeted, step-by-step walkthroughs with real file and line anchors. Use for onboarding tours, archi		236	keep		user approved proposed-cuts (keep)
core/skills/codebase-onboarding/SKILL.md	skill	core-skills	Analyze an unfamiliar codebase and generate a structured onboarding guide with architecture map, key entry points, conventions, and a starte		233	keep		user approved proposed-cuts (keep)
core/skills/coding-standards/SKILL.md	skill	core-skills	Baseline cross-project coding conventions for naming, readability, immutability, and code-quality review. Use detailed frontend or backend s		549	keep		user approved proposed-cuts (keep)
core/skills/compose-multiplatform-patterns/SKILL.md	skill	core-skills	Compose Multiplatform and Jetpack Compose patterns for KMP projects — state management, navigation, theming, performance, and platform-speci		299	cut		user approved proposed-cuts (cut)
core/skills/configure-ecc/SKILL.md	skill	core-skills	Interactive installer for Everything Claude Code — guides users through selecting and installing skills and rules to user-level or project-l		384	cut		user approved proposed-cuts (cut)
